,founder,wasFaang
492,Alexis Favre,0
493,Alexis Ohanian,0
494,Alexis Patjane,0
495,Alexis Rovner,0
496,Alfonso Lizárraga,0
497,Alfonso de los Rios Villarreal,0
498,Alfonzo Brooks,0
499,Alfredo Granda,0
500,Alfredo Vaamonde,0
501,Ali Abramovitz,0
502,Ali Ahmed,0
503,Ali Akhtar,0
504,Ali Attar,0
505,Ali Avci,0
506,Ali El Atrash,0
507,Ali Khajeh-Hosseini,0
508,Ali Kriegsman,0
509,Ali Ladhubhai,0
510,Ali Nasser,0
511,Ali Nawab,0
512,Ali Ozes,0
513,Ali Shahriyari,0
514,Ali Shobeiri,1
515,Ali Vahabzadeh,0
516,Ali Zahid,0
517,Ali Çevik,1
518,Alice Chen,0
519,Alice Dinu,0
520,Alice Melocchi,0
521,Alice Nawfal,0
522,Alice Zhang,0
523,Alicia Collins,0
524,Alif Jafar Fatkhurrohman,0
525,Alina Petrova,0
526,Alisha Fredriksson,0
527,Alison Johnston,1
528,Alison Liddy,0
529,Alistair Pullen,0
530,Alistair Scott,0
531,Alisyn Malek,0
532,Alix Maurin,0
533,Alla Arzumanyan,0
534,Allan (Amnon) Fisch,0
535,Allan Grant,0
536,Allan Guo,0
537,Allan Jiang,1
538,Allan Shin,0
539,Allan Young,0
540,Allen Calderwood,1
541,Allen Liou,0
542,Allen Pan,0
543,Allen Wang,0
544,Allison Bishop,0
545,Allison Pike,0
546,Almas Beleshov,0
547,Alok Deshpande,0
548,Alok Kumar,0
549,Alok Nikhil,0
550,Alon Greenfield,0
551,Alon Peretz,0
552,Alonso Garcia Molina,0
553,Alpha Lee,0
554,Alston Lin,0
555,Alvaro Correa,0
556,Alvaro Sosa,0
557,Aly Murray,0
558,Alyona Medelyan,1
559,Alyson Watson,0
560,Alyssa Atkins,0
561,Ama Marfo,0
562,Amal Dani,0
563,Amal Jolly,0
564,Aman Bhandula,0
565,Aman Gottumukkala,0
566,Aman Gour,0
567,Aman Raghuvanshi,0
568,Amanda Chan,1
569,Amanda Peyton,1
570,Amar Gautam,0
571,Amar Kota,0
572,Amar Kumar,0
573,Amaresh Ray,0
574,Amartya Jha,0
575,Amay Aggarwal,0
576,Ambareesh Balaji,0
577,Amber Atherton,0
578,Ambika Acharya,0
579,Ambika Bumb,0
580,Amer  Baroudi,0
581,Amer Dahmash,1
582,Amey Chaugule,0
583,Amine Benjelloun,0
584,Amine Skalli,0
585,Amir Elaguizy,0
586,Amir Manji,0
587,Amir Mehr,0
588,Amir Prodensky,0
589,Amir Zohrenejad,0
590,Amit Bansal,0
591,Amit Bansil,0
592,Amit Bar,0
593,Amit Jangir,0
594,Amit Manjhi,0
595,Amit Maurya,0
596,Amit Mishra,0
597,Amit Patel,0
598,Amit Singh,0
599,Amit Upadhyay,0
600,Amitav Chakravartty,0
601,Amjad Masad,1
602,Ammar Alkhouli,0
603,Ammar Roslizar,0
604,Ammon Bartram,0
605,Amol Jain,1
606,Amos Gewirtz,0
607,Amrit Randhawa,0
608,Amrutavarsh Kinagi,0
609,Amrutha Gujjar,1
610,Amy Chiu,1
611,Amy Xiao,0
612,Amy Yan,1
613,Amy Yuan,0
614,Ana Ramos,0
615,Ana Robakidze,0
616,Anada Lakra,0
617,Anam Lakhani,0
618,Anand Chaturvedi,1
619,Anand Chowdhary,0
620,Anand Dass,1
621,Anand Dhillon,0
622,Anand Kumar Prajapati,0
623,Anand Nanduri,0
624,Anand Thaker,0
625,Anand Valavalkar,0
626,Ananya Zutshi,0
627,Anchit Navelkar,0
628,Anders Forslund,0
629,Anders Steiner,0
630,Anderson Ferminiano,0
631,Anderson Sumarli,0
632,Andie Cruz,0
633,Andii Davis,0
634,Andras Toth,0
635,Andre Bernardes,0
636,Andre Bertram,0
637,Andre Fu,0
638,Andre von Houck,0
639,Andrea Ballarini,0
640,Andrea Baronchelli,0
641,Andrea Luzzardi,1
642,Andrea Mazzocchi,0
643,Andreas Jansson,0
644,Andreas Mohr,0
645,Andreea Francis,0
646,Andrei Apanasik,0
647,Andrei Klochko,0
648,Andrei Mihu,0
649,Andrei Rebrov,0
650,Andrei Riaskov,0
651,Andrej Paule,0
652,Andres Arslanian,0
653,Andres Barrios,0
654,Andres Buitrago,0
655,Andres Felipe Diaz,0
656,Andres Gutierrez,0
657,Andres Junge,0
658,Andres Kemeny,0
659,Andres Marinkovic,0
660,Andres Morey,0
661,Andres Paez,1
662,Andres Quintanilla,0
663,Andres Recalde,0
664,Andres Richardson,0
665,Andrew Aikawa,0
